algo,type,u,v,time_ms,cpu_ms,rss_mb,dist_km,path_nodes,ok
dijkstra,short,3737958830,588520665,0.925,0.0,,0.64569,10,1
bellman_ford,short,3737958830,588520665,2055.87,2062.5,,0.64569,10,1
bmssp,short,3737958830,588520665,0.406,0.0,,0.64569,10,1
dijkstra,short,30983350,30983238,0.947,0.0,,0.81885,9,1
bellman_ford,short,30983350,30983238,1445.652,1437.5,,0.81885,9,1
bmssp,short,30983350,30983238,0.542,0.0,,0.81885,9,1
dijkstra,short,30970766,30965746,0.316,0.0,,0.42617,11,1
bellman_ford,short,30970766,30965746,1520.917,1468.75,,0.42617,11,1
bmssp,short,30970766,30965746,0.272,0.0,,0.42617,11,1
dijkstra,short,441233554,4427168063,1.136,0.0,,0.8484,18,1
bellman_ford,short,441233554,4427168063,2855.558,2796.875,,0.8484,18,1
bmssp,short,441233554,4427168063,1.897,0.0,,0.8484,18,1
dijkstra,short,30984841,30965858,2.336,0.0,,0.83928,11,1
bellman_ford,short,30984841,30965858,4766.889,4671.875,,0.83928,11,1
bmssp,short,30984841,30965858,1.457,0.0,,0.83928,11,1
dijkstra,short,12464280259,30970701,2.289,15.625,,0.71628,13,1
bellman_ford,short,12464280259,30970701,3942.418,3718.75,,0.71628,13,1
bmssp,short,12464280259,30970701,1.38,0.0,,0.71628,13,1
dijkstra,short,11529579610,9879412666,0.623,0.0,,0.53229,6,1
bellman_ford,short,11529579610,9879412666,5110.36,4921.875,,0.53229,6,1
bmssp,short,11529579610,9879412666,0.198,0.0,,0.53229,6,1
dijkstra,short,3815603528,448035402,1.047,0.0,,0.94669,16,1
bellman_ford,short,3815603528,448035402,2517.384,2500.0,,0.94669,16,1
bmssp,short,3815603528,448035402,0.387,15.625,,0.94669,16,1
dijkstra,short,4427168060,967570726,0.454,0.0,,0.61063,10,1
bellman_ford,short,4427168060,967570726,2267.759,2250.0,,0.61063,10,1
bmssp,short,4427168060,967570726,0.632,0.0,,0.61063,10,1
dijkstra,short,2510761413,448037122,0.497,0.0,,0.42635,6,1
bellman_ford,short,2510761413,448037122,2189.697,2187.5,,0.42635,6,1
bmssp,short,2510761413,448037122,0.2,0.0,,0.42635,6,1
